task	contrast	positive label	negative label	pretty name	tags
WedgeAnti	upper_left	upper_left	fixation	visual representation in the upper-left quadrant of the visual field delimited by its vertical and horizontal meridians	['upper-left_vision','color_perception']
WedgeAnti	right_meridian	right_meridian	fixation	visual representation in the right half-plane of the visual field delimited by its vertical meridian	['lower-right_vision','upper-right_vision','color_perception']
WedgeAnti	left_meridian	left_meridian	fixation	visual representation in the left half-plane of the visual field delimited by its vertical meridian	['lower-left_vision','upper-left_vision','color_perception']
WedgeAnti	upper_right	upper_right	fixation	visual representation in the upper-right quadrant of the visual field delimited by its vertical and horizontal meridians	['upper-right_vision','color_perception']
WedgeAnti	lower_left	lower_left	fixation	visual representation in the lower-left quadrant of the visual field delimited by its vertical and horizontal meridians	['lower-left_vision','color_perception']
ContRing	foveal	foveal	fixation	visual representation in the fovea	['foveal_vision','color_perception']
ContRing	middle	middle	fixation	visual representation in the mid-periphery of the visual field	['mid_peripheral_vision','color_perception']
ContRing	peripheral	peripheral	fixation	visual representation in the far-periphery of the visual field	['far_peripheral_vision','visual_color_discrimination']
ExpRing	foveal	foveal	fixation	visual representation in the fovea	['foveal_vision','color_perception']
ExpRing	middle	middle	fixation	visual representation in the mid-periphery of the visual field	['mid_peripheral_vision','color_perception']
ExpRing	peripheral	peripheral	fixation	visual representation in the far-periphery of the visual field	['far_peripheral_vision','color_perception']
Lec2	attend	attended text	fixation	response to attended text	['language_processing','language_comprehension','reading','word_maintenance','working_memory']
Lec2	unattend	non-attended text	fixation	response to unattended text	['reading','inhibition']
Lec2	attend-unattend	attended text	non-attended text	response to attended vs. unattended text	['language_processing','language_comprehension','word_maintenance','working_memory']
Audi	tear	tear sound	fixation	listen to tears	['auditory_perception','auditory_memory','auditory_recognition']
Audi	suomi	unknown language	fixation	listen to unknown language	['auditory_perception','auditory_memory','auditory_recognition','language_processing','voice_perception']
Audi	yawn	yawning	fixation	listen to yawning	['auditory_perception','auditory_memory','auditory_recognition','voice_perception']
Audi	human	human sounds	fixation	listen to human sounds	['auditory_perception','auditory_memory','auditory_recognition','voice_perception']
Audi	silence	silence	fixation	listen to silence	['auditory_attention']
Audi	music	music	fixation	listen to music	['auditory_perception','auditory_memory','auditory_recognition','music_perception']
Audi	reverse	reversed speech	fixation	listen to reversed speech	['auditory_perception','auditory_memory','auditory_recognition','voice_perception','language_processing']
Audi	speech	speech	fixation	listen to speech	['auditory_perception','auditory_memory','auditory_recognition','voice_perception','auditory_sentence_recognition','speech_perception','language_processing']
Audi	alphabet	letters sounds	fixation	listen to letters	['auditory_perception','auditory_memory','auditory_recognition','voice_perception','speech_perception','speech_processing']
Audi	cough	coughing	fixation	listen to coughing	['auditory_perception','auditory_memory','auditory_recognition','voice_perception']
Audi	environment	environment sounds	fixation	listen to environment sounds	['auditory_perception','auditory_memory','auditory_recognition']
Audi	laugh	laugh	fixation	listen to laugh	['auditory_perception','auditory_memory','auditory_recognition','voice_perception']
Audi	animals	animals	fixation	listen to animals	['auditory_perception','auditory_memory','auditory_recognition','animacy_perception']
Audi	tear-silence	tear sound	silence	listen to tears	['auditory_perception','auditory_memory','auditory_recognition']
Audi	suomi-silence	unknown language	silence	listen to unknown language	['auditory_perception','auditory_memory','auditory_recognition','language_processing','voice_perception']
Audi	yawn-silence	yawning	silence	listen to yawning	['auditory_perception','auditory_memory','auditory_recognition','voice_perception']
Audi	human-silence	human sounds	silence	listen to human sounds	['auditory_perception','auditory_memory','auditory_recognition','voice_perception']
Audi	music-silence	music	silence	listen to music	['auditory_perception','auditory_memory','auditory_recognition','music_perception']
Audi	reverse-silence	reversed speech	silence	listen to reversed speech	['auditory_perception','auditory_memory','auditory_recognition','voice_perception','language_processing']
Audi	speech-silence	speech	silence	listen to speech	['auditory_perception','auditory_memory','auditory_recognition','voice_perception','auditory_sentence_recognition','speech_perception','language_processing']
Audi	alphabet-silence	letters sounds	silence	listen to letters	['auditory_perception','auditory_memory','auditory_recognition','voice_perception','speech_perception','speech_processing']
Audi	cough-silence	coughing	silence	listen to coughing	['auditory_perception','auditory_memory','auditory_recognition','voice_perception']
Audi	environment-silence	environment sounds	silence	listen to environment sounds	['auditory_perception','auditory_memory','auditory_recognition']
Audi	laugh-silence	laugh	silence	listen to laugh	['auditory_perception','auditory_memory','auditory_recognition','voice_perception']
Audi	animals-silence	animals	silence	listen to animals	['auditory_perception','auditory_memory','auditory_recognition','animacy_perception']
Visu	scrambled	scrambled image	fixation	view a scrambled image	['visual_perception','visual_representation']
Visu	face-scrambled	face image	scrambled image	view a face image	['face_perception','oddball_detection']
Visu	characters-scrambled	pseudoword image	scrambled image	view characters	['visual_string_recognition','oddball_detection']
Visu	scene-scrambled	scene image	scrambled image	view a scene	['visual_scene_perception','oddball_detection']
Visu	house-scrambled	house image	scrambled image	view a house	['visual_place_recognition','oddball_detection']
Visu	animal-scrambled	animal image	scrambled image	view an animal	['animacy_perception','oddball_detection']
Visu	pseudoword-scrambled	pseudoword image	scrambled image	view a pseudoword	['visual_pseudoword_recognition','oddball_detection']
Visu	tool-scrambled	tool image	scrambled image	view a tool	['visual_object_recognition','visual_tool_recognition','oddball_detection']
Visu	scene	scene image	fixation	view a scene	['visual_scene_perception','oddball_detection']
Visu	tool	tool image	fixation	view a tool	['visual_object_recognition','visual_tool_recognition','oddball_detection']
Visu	face	face image	fixation	view a face image	['face_perception','facial_recognition','oddball_detection']
Visu	target_fruit	fruit image	fixation	view a target object	['naturalistic_scenes','visual_object_recognition','oddball_detection','food_cue_reactivity','response_selection','response_execution']
Visu	house	house image	fixation	view a house	['visual_place_recognition','oddball_detection']
Visu	animal	animal image	fixation	view an animal	['animacy_perception','oddball_detection']
Visu	characters	pseudoword image	fixation	view characters	['visual_string_recognition','oddball_detection']
Visu	pseudoword	pseudoword image	fixation	view a pseudoword	['visual_pseudoword_recognition','oddball_detection']
Lec1	word	word	fixation	read a word 	['visual_word_recognition','language_processing','semantic_processing','reading','response_selection','response_execution']
Lec1	random_string	random string	fixation	read a random string	['visual_string_recognition','reading','response_selection','response_execution']
Lec1	pseudoword	pseudoword	fixation	read a pseudoword	['visual_pseudoword_recognition','language_processing','reading','response_selection','response_execution']
Lec1	word-random_string	word	random string	read a word vs. a random string	['visual_word_recognition','language_processing','semantic_processing']
Lec1	word-pseudoword	word	pseudoword	read a word vs. a pseudoword	['visual_word_recognition','semantic_processing']
Lec1	pseudoword-random_string	pseudoword	random string	read a pseudoword vs. a random string	['visual_pseudoword_recognition','language_processing','reading']
MVEB	letter_occurrence_response	button press	wait	respond by button pressing whether the letter currently displayed was presented before or not	['response_selection','response_execution']
MVEB	2_letters_different	maintain 2 letters	fixation	maintaining two letters	['visual_attention','visual_working_memory','string_maintenance']
MVEB	4_letters_different	maintain 4 letters	fixation	maintaining four letters	['visual_attention','visual_working_memory','string_maintenance','visual_buffer','numerosity']
MVEB	6_letters_different	maintain 6 letters	fixation	maintaining six letters	['visual_attention','visual_working_memory','string_maintenance','numerosity','visual_buffer','task_difficulty']
MVEB	2_letters_same	maintain 1 letter	fixation	maintaining one letter	['visual_attention','string_maintenance']
MVEB	4_letters_same	maintain 1 letter	fixation	maintaining one letter	['visual_attention','visual_working_memory','string_maintenance','numerosity']
MVEB	6_letters_same	maintain 1 letter	fixation	maintaining one letter	['visual_attention','visual_working_memory','string_maintenance','numerosity','visual_buffer']
MVEB	2_letters_different-same	maintain 2 letters	maintain 1 letter	maintaining two letters vs. one	['visual_working_memory']
MVEB	4_letters_different-same	maintain 4 letters	maintain 1 letter	maintaining four letters vs. one	['visual_buffer']
MVEB	6_letters_different-same	maintain 6 letters	maintain 1 letter	maintaining six letters vs. one	['task_difficulty']
MVEB	6_letters_different-2_letters_different	maintain 6 letters	maintain 2 letters	maintaining six letters vs. two	['numerosity','task_difficulty']
MVIS	dot_displacement_response	button press	wait	respond by button pressing whether the dot currently displayed share the same location as any of those shown before	['response_selection','response_execution']
MVIS	dots-control	maintain several positions	maintain 1 position	maintain position of two to six dots vs. one	['visual_attention','visual_working_memory','spatial_working_memory','numerosity','task_difficulty','feature_comparison']
MVIS	2_dots-2_dots_control	maintain 2 positions	maintain 1 position	maintain position of two dots vs. one	['visual_attention','spatial_working_memory','feature_comparison']
MVIS	4_dots-4_dots_control	maintain 4 positions	maintain 1 position	maintain position of four dots vs. one	['visual_attention','spatial_working_memory','numerosity','feature_comparison']
MVIS	6_dots-6_dots_control	maintain 6 positions	maintain 1 position	maintain position of six dots vs. one	['visual_attention','spatial_working_memory','numerosity','task_difficulty','feature_comparison']
MVIS	6_dots-2_dots	maintain 6 positions	maintain 2 positions	maintain position of six dots vs. two	['visual_working_memory','numerosity','task_difficulty']
Moto	instructions	reading instructions	fixation	read instructions	['reading']
Moto	finger_right-fixation	right finger	any motion	right finger tapping vs. any movement	['response_selection','response_execution','right_finger_response_execution']
Moto	finger_left-fixation	left finger	any motion	left finger tapping vs. any movement	['response_selection','response_execution','left_finger_response_execution']
Moto	foot_left-fixation	left foot	any motion	move left foot vs. any movement	['response_selection','response_execution','left_toe_response_execution']
Moto	foot_right-fixation	right foot	any motion	move right foot vs. any movement	['response_selection','response_execution','right_toe_response_execution']
Moto	hand_left-fixation	left hand	any motion	move left hand vs. any movement	['response_selection','response_execution','left_hand_response_execution']
Moto	hand_right-fixation	right hand	any motion	move right hand vs. any movement	['response_selection','response_execution','right_hand_response_execution']
Moto	saccade-fixation	saccade	any motion	saccade vs. any movement	['response_selection','response_execution','saccadic_eye_movement']
Moto	tongue-fixation	tongue	any motion	move tongue vs. any movement	['response_selection','response_execution','tongue_response_execution']
MCSE	high_salience_left	high salience left	fixation	looking for a salient symbol in left visual field	['response_selection','response_execution','visual_search','salience','upper-left_vision','lower-left_vision']
MCSE	high_salience_right	high salience right	fixation	looking for a salient symbol in right visual field	['response_selection','response_execution','visual_search','salience','upper-right_vision','lower-right_vision']
MCSE	low_salience_left	low salience left	fixation	looking for a low-salient symbol in left visual field	['response_selection','response_execution','visual_search','task_difficulty','upper-left_vision','lower-left_vision']
MCSE	low_salience_right	low salience right	fixation	looking for a low-salient symbol in right visual field	['response_selection','response_execution','visual_search','task_difficulty','upper-right_vision','lower-right_vision']
MCSE	salience_left-right	left visual field	right visual field	looking for a symbol in left vs. right visual field	['response_selection','response_execution','visual_search','visual_localization','upper-left_vision','lower-left_vision']
MCSE	salience_right-left	right visual field	left visual field	looking for a symbol in right vs. left visual field	['response_selection','response_execution','visual_search','visual_localization','upper-right_vision','lower-right_vision']
MCSE	low+high_salience	visual search	fixation	looking for a symbol	['response_selection','response_execution','visual_search','visual_localization']
MCSE	low-high_salience	low salience	high salience	looking for a low-salient symbol	['response_selection','response_execution','visual_search','task_difficulty']
MCSE	high-low_salience	high salience	low salience	looking for a high-salient symbol	['response_selection','response_execution','visual_search']
Audio	animal	animal sound	fixation	listen to animals	['auditory_perception','auditory_working_memory','auditory_recognition','animacy_perception']
Audio	music	music	fixation	listen to music	['auditory_perception','auditory_working_memory','auditory_recognition','music_perception']
Audio	nature	nature sound	fixation	listen to nature	['auditory_perception','auditory_working_memory','auditory_recognition']
Audio	speech	speech	fixation	listen to speech	['auditory_perception','auditory_working_memory','auditory_recognition','voice_perception','auditory_sentence_recognition','speech_perception','language_processing']
Audio	tool	tool sound	fixation	listen to tool	['auditory_perception','auditory_working_memory','auditory_recognition','object_recognition']
Audio	voice	voice	fixation	listen to voice	['auditory_perception','auditory_working_memory','auditory_recognition','voice_perception']
Audio	animal-others	animal sound	other sounds	listen to animals vs. other sounds	['animacy_perception','auditory_recognition']
Audio	music-others	music	other sounds	listen to music vs. other sounds	['music_perception','auditory_recognition']
Audio	nature-others	nature sound	other sounds	listen to nature vs. other sounds	['auditory_recognition']
Audio	speech-others	speech	other sounds	listen to speech vs. other sounds	['voice_perception','speech_perception','language_processing','auditory_recognition']
Audio	tool-others	tool sound	other sounds	listen to tool vs. other sounds	['object_recognition','auditory_recognition']
Audio	voice-others	voice	other sounds	listen to voice vs. other sounds 	['voice_perception','auditory_recognition']
Audio	mean-silence	sound	silence	listening to sounds vs. silence	['auditory_perception','auditory_recognition']
Audio	animal-silence	animal sound	silence	listen to animals vs. silence	['auditory_perception','auditory_working_memory','auditory_recognition','animacy_perception']
Audio	music-silence	music	silence	listen to music vs. silence	['auditory_perception','auditory_working_memory','auditory_recognition','music_perception']
Audio	nature-silence	nature sound	silence	listen to nature vs. silence	['auditory_perception','auditory_working_memory','auditory_recognition']
Audio	speech-silence	speech	silence	listen to speech vs. silence	['auditory_perception','auditory_working_memory','auditory_recognition','voice_perception','auditory_sentence_recognition','speech_perception','language_processing']
Audio	voice-silence	voice	silence	listen to voice vs. silence 	['auditory_perception','auditory_working_memory','auditory_recognition','voice_perception']
Audio	tool-silence	tool sound	silence	listen to tool vs. silence 	['auditory_perception','auditory_working_memory','auditory_recognition']
Attention	spatial_cue-double_cue	no cue	visual cue	cued vs. uncued probe	['selective_attention','saccadic_eye_movement']
Attention	spatial_cue	spatial cue	fixation	cued probe	['spatial_attention','selective_attention','saccadic_eye_movement']
Attention	incongruent-congruent	ignore distractors	no distractors	ignore distractors vs. no distractors	['selective_attention']
Attention	double_incongruent-double_congruent	ignore distractors	no distractors	ignore distractors vs. no distractors without spatial cue	['selective_attention']
Attention	double_congruent	no spatial cue no distractors	fixation	no spatial cue + no distractors in the probe	['spatial_attention','saccadic_eye_movement','response_selection','response_execution']
Attention	double_incongruent	no spatial cue distractors	fixation	no spatial cue + distractors in the probe	['spatial_attention','saccadic_eye_movement','selective_attention','response_selection','response_execution']
Attention	double_cue	no spatial cue	fixation	cues appear in both possible location of the probe at the same time	['spatial_attention','response_selection','response_execution']
Attention	spatial_incongruent-spatial_congruent	ignore distractors	no distractors	ignore distractors vs. no distractors with spatial cue	['selective_attention']
Attention	spatial_incongruent	spatial cue distractors	fixation	cued probe with distractors in the probe	['spatial_attention','saccadic_eye_movement','selective_attention','response_selection','response_execution']
Attention	spatial_congruent	spatial cue no distractors	fixation	cued  probe no distractors	['spatial_attention','selective_attention','saccadic_eye_movement','response_selection','response_execution']
StopSignal	go	shape recognition	fixation	shape recognition	['shape_recognition','proactive_control','response_selection','response_execution']
StopSignal	stop	response stop	fixation	shape recognition, stopped response	['shape_recognition','proactive_control','response_inhibition','response_selection','response_execution']
StopSignal	stop-go	response stop	response	response inhibition	['response_inhibition','shape_perception']
TwoByTwo	cue_taskstay_cuestay	task repetition	fixation	both task and cue repeats	['visual_perception','response_selection','response_execution']
TwoByTwo	cue_taskswitch_cueswitch	task switch	fixation	both task and cue switch	['visual_perception','response_selection','response_execution','task_switch','cue_switch']
TwoByTwo	cue_taskswitch_cuestay	task switch	fixation	both task and cue switch	['visual_perception','response_selection','response_execution','task_switch','cue_switch']
TwoByTwo	cue_taskstay_cueswitch	cue switch	fixation	task repeats  cue switch	['visual_perception','response_selection','response_execution','cue_switch']
TwoByTwo	stim_taskstay_cuestay	task repetition	fixation	both task and cue repeats	['visual_perception','response_selection','response_execution']
TwoByTwo	stim_taskswitch_cueswitch	task switch	fixation	both task and cue switch	['visual_perception','response_selection','response_execution','task_switch','cue_switch']
TwoByTwo	stim_taskswitch_cuestay	task switch	fixation	both task and cue switch	['visual_perception','response_selection','response_execution','task_switch','cue_switch']
TwoByTwo	stim_taskstay_cueswitch	cue switch	fixation	task repeats  cue switch	['visual_perception','response_selection','response_execution','cue_switch']
TwoByTwo	task_switch-stay	task switch	task stay	effect of task switch	['task_switch']
TwoByTwo	cue_switch-stay	cue switch	cue stay	effect of cur switch	['cue_switch']
Discount	delay	fast reward	delayed reward	effect of delay on reward 	['decision_making','response_conflict','selective_control']
Discount	amount	smaller reward	greater reward	effect of reward gain	['decision_making','incentive_salience','selective_control']
SelectiveStopSignal	go_critical	response on stop side	fixation	respond with the correct finger depending on the image displayed (side instructed to stop if the stop signal appears)	['shape_recognition','proactive_control','response_selection','response_execution']
SelectiveStopSignal	go_noncritical	response on ignore side	fixation	respond with the correct finger depending on the image displayed (side instructed to ignore the stop signal)	['shape_recognition','proactive_control','response_selection','response_execution']
SelectiveStopSignal	stop	response stop	fixation	stop the response if the stop signal appears	['shape_recognition','proactive_control','response_inhibition','response_selection','response_execution']
SelectiveStopSignal	ignore	ignore stop signal	fixation	respond anyway even if the stop signal appears	['shape_recognition','proactive_control','response_conflict','response_selection','response_execution']
SelectiveStopSignal	go_critical-stop	response on stop side	response stop	inhibit the motor response	['response_inhibition','shape_perception']
SelectiveStopSignal	go_noncritical-ignore	response on ignore side	ignore stop signal	ignore stop signal vs. simply respond	['response_conflict','shape_perception']
SelectiveStopSignal	ignore-stop	ignore stop signal	response stop	ignore stop signal vs. inhibit motor response	['response_conflict']
SelectiveStopSignal	stop-ignore	response stop	ignore stop signal	inhibit motor response vs. ignore stop signal	['response_inhibition','shape_perception']
Stroop	congruent	automatic response	fixation	word and word color are the same	['color_perception','visual_perception','proactive_control','response_selection','response_execution']
Stroop	incongruent	conflictive response	fixation	word and color are not the same	['color_perception','visual_perception','proactive_control','response_selection','response_execution','conflict_detection']
Stroop	incongruent-congruent	conflictive response	automatic response	conflict between automatic and instructed response	['conflict_detection']
ColumbiaCards	num_loss_cards	low risk	high risk	probability of losing	['risk_aversion','risk_processing']
ColumbiaCards	loss	small loss	large loss	expected loss	['risk_aversion','risk_processing']
ColumbiaCards	gain	small gain	large gain	expected gain	['reward_processing']
DotPatterns	cue	cue perception	fixation	attend to cue	['shape_recognition','response_selection','feature_comparison']
DotPatterns	correct_cue_correct_probe	response	fixation	both cue and probe are correct (AX)	['shape_recognition','proactive_control','response_selection','response_execution','feature_comparison']
DotPatterns	correct_cue_incorrect_probe	response	fixation	the cue is correct  but the probe is not (AY)	['shape_recognition','proactive_control','response_selection','response_execution','feature_comparison']
DotPatterns	incorrect_cue_correct_probe	attend 	fixation	cue is incorrect but probe is correct (BX)	['shape_recognition','response_selection','response_execution','feature_comparison']
DotPatterns	incorrect_cue_incorrect_probe	attend 	fixation	both cue and probe are incorrect (BY)	['shape_recognition','response_selection','response_execution','feature_comparison']
DotPatterns	correct_cue_incorrect_probe-correct_cue_correct_probe	response	response	incorrect vs. correct probe with correct cue	['shape_recognition','response_selection','feature_comparison']
DotPatterns	incorrect_cue_incorrect_probe-incorrect_cue_correct_probe	attend 	attend 	shape recognition	['shape_recognition','response_selection','feature_comparison']
DotPatterns	correct_cue_incorrect_probe-incorrect_cue_correct_probe	response	attend 	effect of cognitive control	['proactive_control']
DotPatterns	incorrect_cue_incorrect_probe-correct_cue_incorrect_probe	attend 	response	effect of cognitive control	['proactive_control']
DotPatterns	correct_cue-incorrect_cue	non vigilance	vigilance	effect of cognitive control	['proactive_control']
DotPatterns	incorrect_probe-correct_probe	response	response	shape recognition	['shape_recognition','response_selection','feature_comparison']
WardAndAllport	planning_ambiguous_intermediate	solve complex task	fixation	complex goal hierarchy + complex search depth	['visual_perception','response_selection','planning','goal_hierarchy','search_depth','working_memory']
WardAndAllport	planning_unambiguous_direct	solve simple task	fixation	simple goal hierarchy + simple search depth	['visual_perception','response_selection','planning']
WardAndAllport	planning_ambiguous_direct	solve complex hierarchy	fixation	complex goal hierarchy + simple search depth	['visual_perception','response_selection','planning','goal_hierarchy']
WardAndAllport	planning_unambiguous_intermediate	solve complex depth	fixation	simple goal hierarchy + complex search depth	['visual_perception','response_selection','planning','search_depth','working_memory']
WardAndAllport	intermediate-direct	solve complex depth	solve simple depth	effect of search depth	['search_depth','working_memory']
WardAndAllport	ambiguous-unambiguous	solve complex hierarchy	solve simple hierarchy	effect of goal hierarchy	['goal_hierarchy']
WardAndAllport	move_ambiguous_intermediate	solve complex task	fixation	complex goal hierarchy + complex search depth	['visual_perception','response_selection','response_execution','planning','goal_hierarchy','search_depth','working_memory']
WardAndAllport	move_unambiguous_direct	solve simple task	fixation	simple goal hierarchy + simple search depth	['visual_perception','response_selection','response_execution','planning']
WardAndAllport	move_ambiguous_direct	solve complex hierarchy	fixation	complex goal hierarchy + simple search depth	['visual_perception','response_selection','response_execution','planning','goal_hierarchy']
WardAndAllport	move_unambiguous_intermediate	solve complex depth	fixation	simple goal hierarchy + complex search depth	['visual_perception','response_selection','response_execution','planning','search_depth','working_memory']
LPPLocalizer	control	reversed speech	fixation	reversed, intelligible speech	['auditory_perception','auditory_attention','sound_perception','voice_perception','listening','speech_perception','language_processing']
LPPLocalizer	french	speech	fixation	audio clips of phrases in french	['auditory_perception','sound_perception','voice_perception','auditory_sentence_recognition','listening','speech_perception','speech_processing','language_processing','language_comprehension','semantic_processing']
LPPLocalizer	french-control	speech	reversed speech	audio clips of phrases in french vs. reversed, intelligible speech	['auditory_sentence_recognition','speech_processing','language_comprehension','semantic_processing']
BiologicalMotion1	global_upright	global motion movie	fixation	global biological motion vs. fixation	['biological_motion','motion_detection','spatial_attention','response_selection','response_execution']
BiologicalMotion1	global_inverted	flipped global motion movie	fixation	global reversed biological motion vs. fixation	['biological_motion','motion_detection','spatial_attention','response_selection','response_execution','visual_orientation']
BiologicalMotion1	natural_upright	local motion movie	fixation	local biological motion vs. fixation	['biological_motion','motion_detection','visual_representation','response_selection','response_execution']
BiologicalMotion1	natural_inverted	flipped local motion movie	fixation	local reversed biological motion vs. fixation	['biological_motion','motion_detection','visual_representation','response_selection','response_execution','visual_orientation']
BiologicalMotion1	global_upright-natural_upright	global motion movie	local motion information	effect of global information on motion perception	['biological_motion','motion_detection','spatial_attention']
BiologicalMotion1	global_upright-global_inverted	global motion movie	global motion information flipped on X axis	effect of orientation on motion perception	['biological_motion','motion_detection','visual_orientation']
BiologicalMotion1	natural_upright-natural_inverted	local motion movie	local motion information flipped on X axis	effect of orientation on motion perception	['biological_motion','motion_detection','visual_representation']
BiologicalMotion1	global-natural	global motion movie	local motion information	effect of global information on motion perception	['biological_motion','spatial_attention']
BiologicalMotion1	natural-global	local motion information	global motion movie	Negative effect of global information on motion perception	['biological_motion','visual_representation']
BiologicalMotion1	inverted-upright	flipped motion movie	upright motion movie	effect of orientation on motion perception	['biological_motion','visual_orientation']
BiologicalMotion2	modified_upright	scrambled motion movie	fixation	scrambled motion information vs. fixation	['biological_motion','motion_detection','response_selection','response_execution']
BiologicalMotion2	modified_inverted	flipped scrambled motion movie	fixation	no motion information reversed vs. fixation	['biological_motion','motion_detection','response_selection','response_execution','visual_orientation']
BiologicalMotion2	natural_upright	local motion movie	fixation	local biological motion vs. fixation	['biological_motion','motion_detection','visual_representation','response_selection','response_execution']
BiologicalMotion2	natural_inverted	flipped local motion movie 	fixation	local reversed biological motion vs. fixation	['biological_motion','motion_detection','visual_representation','response_selection','response_execution','visual_orientation']
BiologicalMotion2	natural_upright-modified_upright	local motion movie	no motion information	effect of local information on motion perception	['biological_motion','motion_detection','visual_representation']
BiologicalMotion2	modified_upright-modified_inverted	no motion movie	no motion information flipped on X axis	effect of orientation on motion perception	['biological_motion','motion_detection']
BiologicalMotion2	natural_upright-natural_inverted	local motion movie	local motion information flipped on X axis	effect of orientation on motion perception	['biological_motion','motion_detection','visual_representation']
BiologicalMotion2	modified-natural	no motion movie	local motion movie	Negative effect of local information on motion perception	['motion_detection']
BiologicalMotion2	natural-modified	local motion movie	no motion movie	effect of local information on motion perception	['motion_detection','visual_representation']
BiologicalMotion2	inverted-upright	flipped motion movie	upright motion movie	effect of orientation on motion perception	['motion_detection','visual_orientation']
MathLanguage	colorlessg_auditory	listen to jabberwocky	fixation	auditory jabberwocky sentence parsing	['auditory_word_recognition','sentence_comprehension']
MathLanguage	colorlessg_visual	read jabberwocky	fixation	visual jabberwocky sentence parsing	['visual_word_recognition','sentence_comprehension']
MathLanguage	wordlist_auditory	listen to word list	fixation	listen to word list	['auditory_word_recognition']
MathLanguage	wordlist_visual	read word list	fixation	read word list	['visual_word_recognition']
MathLanguage	arithmetic_fact_auditory	listen to arithmetic fact	fixation	listen to arithmetic fact	['auditory_arithmetic_processing','auditory_sentence_comprehension']
MathLanguage	arithmetic_fact_visual	read arithmetic fact	fixation	read arithmetic fact	['visual_arithmetic_processing','visual_sentence_comprehension']
MathLanguage	arithmetic_principle_auditory	listen to arithmetic principle	fixation	listen to arithmetic principle	['auditory_arithmetic_processing','auditory_sentence_comprehension']
MathLanguage	arithmetic_principle_visual	read to arithmetic principle	fixation	read to arithmetic principle	['visual_arithmetic_processing','visual_sentence_comprehension']
MathLanguage	theory_of_mind_auditory	listen to false-belief tale	fixation	auditory false-belief tale	['auditory_word_recognition','auditory_sentence_recognition','narrative_comprehension','theory_of_mind']
MathLanguage	theory_of_mind_visual	read false-belief tale	fixation	read false-belief tale	['visual_word_recognition','visual_sentence_comprehension','narrative_comprehension','visual_imagery','theory_of_mind']
MathLanguage	geometry_fact_auditory	listen to geometric fact	fixation	listen to geometric fact	['auditory_geometric_processing','auditory_sentence_comprehension']
MathLanguage	geometry_fact_visual	read geometric fact	fixation	read geometric fact	['visual_geometric_processing','visual_sentence_comprehension']
MathLanguage	general_auditory	listen to sentence	fixation	listen to sentence	['auditory_word_recognition','auditory_sentence_recognition','narrative_comprehension']
MathLanguage	general_visual	read sentence	fixation	read sentence	['visual_word_recognition','visual_sentence_comprehension','narrative_comprehension']
MathLanguage	context_auditory	audio cue	fixation	audio cue	['auditory_perception']
MathLanguage	context_visual	visual cue	fixation	visual cue	['visual_perception']
MathLanguage	visual-auditory	read instructions	listen to instructions	read vs to listen to instruction	['visual_word_recognition','visual_sentence_comprehension']
MathLanguage	auditory-visual	listen to instructions	read instructions	list to vs read instruction	['auditory_word_recognition','auditory_sentence_recognition']
MathLanguage	colorlessg-wordlist	visual or auditory jabberwocky	visual or auditory word list	jabberwocky vs word list	['syntactic_parsing','sentence_comprehension','combinatorial_semantics']
MathLanguage	general-colorlessg	visual or auditory sentence	visual or auditory jabberwocky	listen to sentence vs jabberwocky	['sentence_comprehension']
MathLanguage	math-nonmath	read or listen to math statement	read or listen to language statement	math vs others	['visual_arithmetic_processing','auditory_arithmetic_processing']
MathLanguage	nonmath-math	read or listen to language statement	read or listen to math statement	others vs math	['narrative_comprehension']
MathLanguage	geometry-othermath	read or listen to geometric statement	read or listen to other math statement	geometry vs other maths	['visual_geometric_processing','auditory_geometric_processing']
MathLanguage	arithmetic_principle-othermath	listen to arithmetic principle	read or listen to other math statement	arithmetic principle vs other maths	['visual_arithmetic_processing','auditory_arithmetic_processing']
MathLanguage	arithmetic_fact-othermath	listen to arithmetic fact	read or listen to other math statement	arithmetic fact vs other maths	['visual_arithmetic_processing','auditory_arithmetic_processing']
MathLanguage	theory_of_mind-general	read or listen to false-belief tale	read or listen to language statement	false belief vs general statement	['theory_of_mind']
MathLanguage	context-general	cue	read or listen to language statement	cue vs language statement	['auditory_perception','visual_perception']
MathLanguage	theory_of_mind-context	read or listen to false-belief tale	cue	false belief vs cue	['theory_of_mind']
MathLanguage	context-theory_of_mind	cue	read or listen to false-belief tale	cue vs false belief	['auditory_perception','visual_perception']
MathLanguage	theory_of_mind_and_context-general	read or listen to false-belief tale	read or listen to language statement	false belief and cue vs general statement	['theory_of_mind']
SpatialNavigation	experimental-intersection	approach intersection	encode intersection	spatial navigation	['navigation']
SpatialNavigation	experimental-control	approach intersection	approach control intersection	spatial navigation	['navigation']
SpatialNavigation	intersection	encode intersection	fixation	spatial localization	['spatial_localization','spatial_memory']
SpatialNavigation	experimental	approach intersection	fixation	spatial navigation	['navigation','spatial_working_memory']
SpatialNavigation	retrieval	experimental trials	control trials 	retrieving a landmark	['spatial_working_memory']
SpatialNavigation	pointing_experimental	pointing a landmark	fixation	pointing a landmark	['spatial_working_memory','visual_search']
SpatialNavigation	control	approach control intersection	fixation	spatial navigation	['navigation']
SpatialNavigation	navigation	encode space	fixation	spatial navigation	['navigation','spatial_memory']
