task	condition	description
Abstraction	faces_face2_geometry	Image of a diferent face  presented with the geometry render
Abstraction	faces_eyes_geometry	Image of eyes  presented with the geometry render
Abstraction	faces_cat_geometry	Image of a cat face  presented with the geometry render
Abstraction	faces_face_edge	Image of a face  presented with the edge render
Abstraction	faces_face2_edge	Image of a different face  presented with the edge render
Abstraction	faces_eyes_edge	Image of eyes  presented with the edge render
Abstraction	faces_cat_edge	Image of a cat face  presented with the edge render
Abstraction	faces_face_photo	Image of a face  presented with the photo render
Abstraction	faces_face2_photo	Image of a different face  presented with the photo render
Abstraction	faces_eyes_photo	Image of eyes  presented with the photo render
Abstraction	faces_cat_photo	Image of a cat face  presented with the photo render
Abstraction	flora_tree_geometry	Image of a tree  presented with the photo render
Abstraction	flora_flower_geometry	Image of a flower  presented with the photo render
Abstraction	flora_cherry_geometry	Image of a cherry  presented with the photo render
Abstraction	flora_carrot_geometry	Image of a carrot  presented with the photo render
Abstraction	flora_tree_edge	Image of a tree  presented with the photo render
Abstraction	flora_flower_edge	Image of a flower  presented with the photo render
Abstraction	flora_cherry_edge	Image of a cherry  presented with the photo render
Abstraction	flora_carrot_edge	Image of a carrot  presented with the photo render
Abstraction	flora_tree_photo	Image of a tree  presented with the photo render
Abstraction	flora_flower_photo	Image of a flower  presented with the photo render
Abstraction	flora_cherry_photo	Image of a cherry  presented with the photo render
Abstraction	flora_carrot_photo	Image of a carrot  presented with the photo render
Abstraction	objects_truck_geometry	Image of a truck  presented with the photo render
Abstraction	objects_key_geometry	Image of a key  presented with the photo render
Abstraction	objects_camera_geometry	Image of a camara  presented with the photo render
Abstraction	objects_watch_geometry	Image of a watch  presented with the photo render
Abstraction	objects_truck_edge	Image of a truck  presented with the photo render
Abstraction	objects_key_edge	Image of a key  presented with the photo render
Abstraction	objects_camera_edge	Image of a camara  presented with the photo render
Abstraction	objects_watch_edge	Image of a watch  presented with the photo render
Abstraction	objects_truck_photo	Image of a truck  presented with the photo render
Abstraction	objects_key_photo	Image of a key  presented with the photo render
Abstraction	objects_camera_photo	Image of a camara  presented with the photo render
Abstraction	objects_watch_photo	Image of a watch  presented with the photo render
Abstraction	places_house_geometry	Image of a house  presented with the photo render
Abstraction	places_mountain_geometry	Image of a mountain  presented with the photo render
Abstraction	places_road_geometry	Image of a road  presented with the photo render
Abstraction	places_windmill_geometry	Image of a windmill  presented with the photo render
Abstraction	places_house_edge	Image of a house  presented with the photo render
Abstraction	places_mountain_edge	Image of a mountain  presented with the photo render
Abstraction	places_road_edge	Image of a road  presented with the photo render
Abstraction	places_windmill_edge	Image of a windmill  presented with the photo render
Abstraction	places_house_photo	Image of a house  presented with the photo render
Abstraction	places_mountain_photo	Image of a mountain  presented with the photo render
Abstraction	places_road_photo	Image of a road  presented with the photo render
Abstraction	places_windmill_photo	Image of a windmill  presented with the photo render
Abstraction	response	Subject's button press when they saw a star
MDTB	search_easy	It is easy to judge whether there is a right-oriented 'L' shape present on the array
MDTB	search_hard	It is hard to judge whether there is a right-oriented 'L' shape present on the array
MDTB	action_action	Watching a pair of hands make a specific knot
MDTB	action_control	The resulting knot is shown from different angles
MDTB	flexion_extension	Continuous flexion and extension of toes
MDTB	finger_complex	Sequence of button presses that is hard to complete (with no consecutive or repeated fingers)
MDTB	finger_simple	Sequence of button presses that is easy to complete (using consecutive or repeated fingers)
MDTB	tom_belief	The statement presented relates to thoughts or believes the characters from the paragraph might have
MDTB	tom_photo	The statement presented relates to facts described on the paragraph
MDTB	2back_easy	Easy 2-back trial, it is easy to remember whether the image was shown 2 images ago.
MDTB	2back_hard	Hard 2-back trial, it is hard to remember whether the image was shown 2 images ago.
MDTB	semantic easy	Easy to decide whether the last word fits in the sentence, natural sequence
MDTB	semantic hard	Hard to decide whether the last word fits in the sentence, ambiguous sequence
Emotion	neutral_image	Block of neutral images
Emotion	negative_image	Block of negative images
Emotion	echelle_valence	Subject’s rating of emotional state
MultiModal	audio_monkey	Monkey sounds used as audio stimulus
MultiModal	audio_animal	Animal sounds different from monkeys used as audio stimulus
MultiModal	audio_nature	Nature sounds (i.e. rain) used as audio stimulus
MultiModal	audio_silence	Control condition for both audio and visual stimuli, no sound played and no image displayed
MultiModal	audio_speech	Speech sounds used as audio stimulus
MultiModal	audio_tools	Tools sounds used as audio stimulus
MultiModal	audio_voice	Human sounds (i.e. laugh, cough) used as audio stimulus
MultiModal	tactile_bottom	Air puffs delivered beneath the lower lips as tactile stimulus
MultiModal	tactile_middle	Air puffs delivered by the middle lips as tactile stimulus
MultiModal	tactile_top	Air puffs delivered above the upper lips as tactile stimulus
MultiModal	tactile_novalve	Control condition for tactile stimulus, air is sent to the pair of pipes placed outside the coil, so it doesn't touch the subject
MultiModal	image_animals	Image of an animal different from monkeys and birds used as visual stimulus
MultiModal	image_birds	Image of a bird used as visual stimulus
MultiModal	image_fruits	Image of fruits used as visual stimulus
MultiModal	image_human_body	Image of a human body (without the head) used as visual stimulus
MultiModal	image_human_face	Image of a human face used as visual stimulus
MultiModal	image_human_object	Image of an object used by humans (i.e. guitar) used as visual stimulus
MultiModal	image_monkey_body	Image of a monkey body (without the head) used as visual stimulus
MultiModal	image_monkey_face	Image of a monkey face used as visual stimulus
MultiModal	image_monkey_object	Image of an object used by monkeys (i.e. drinker) used as visual stimulus
MultiModal	image_sculpture	Image of a sculpture used as visual stimulus
